DATAFLOW,LAST UPDATE,freq,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2017,642,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2018,662,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2019,664,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2020,625,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2021,650,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2022,673,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2023,674,p,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Czechia,2014,310,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Czechia,2015,316,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Czechia,2016,339,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Czechia,2017,489,b,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Czechia,2018,494,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Czechia,2019,500,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Czechia,2020,543,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Czechia,2021,570,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Germany,2014,631,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Germany,2015,632,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Germany,2016,633,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Germany,2017,627,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Germany,2018,606,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Germany,2019,609,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Germany,2020,641,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Germany,2021,651,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Germany,2022,606,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Germany,2023,601,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Denmark,2014,808,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Denmark,2015,822,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Denmark,2016,830,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Denmark,2017,820,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Denmark,2018,814,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Denmark,2019,844,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Denmark,2020,814,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Denmark,2021,769,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Denmark,2022,802,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Estonia,2014,357,b,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Estonia,2015,359,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Estonia,2016,376,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Estonia,2017,390,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Estonia,2018,405,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Estonia,2019,369,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Estonia,2020,383,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Estonia,2021,395,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Estonia,2022,373,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Estonia,2023,373,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Greece,2014,488,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Greece,2015,488,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Greece,2016,498,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Greece,2017,504,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Greece,2018,515,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Greece,2019,524,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Greece,2020,499,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Greece,2021,509,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Greece,2022,519,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Spain,2014,448,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Spain,2015,456,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Spain,2016,464,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Spain,2017,473,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Spain,2018,475,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Spain,2019,472,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Spain,2020,463,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Spain,2021,482,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Spain,2022,482,p,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Spain,2023,465,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,European Union - 27 countries (from 2020),2014,479,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,European Union - 27 countries (from 2020),2015,481,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,European Union - 27 countries (from 2020),2016,494,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,European Union - 27 countries (from 2020),2017,500,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,European Union - 27 countries (from 2020),2018,500,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,European Union - 27 countries (from 2020),2019,505,i,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,European Union - 27 countries (from 2020),2020,521,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,European Union - 27 countries (from 2020),2021,534,i,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,European Union - 27 countries (from 2020),2022,515,i,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,European Union - 27 countries (from 2020),2023,511,i,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Finland,2014,482,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Finland,2015,500,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Finland,2016,504,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Finland,2017,510,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Finland,2018,551,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Finland,2019,566,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Finland,2020,609,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Finland,2021,630,,
